index	x	v	a	u
0	-5.0	0.0	0.0	1.7298562009297502
1	-5.0	-0.017298562009297504	1.5568705808367753	-1.311911333143221
2	-5.019028418210227	1.4765774593180008	0.5318374390915541	-1.1988499987427619
3	-3.394793212960426	1.8461537805106047	-0.49394381586777614	-0.2975654135452967
4	-1.3640240543987607	1.19526743152061	-0.8111470696453209	0.4726186319361563
5	-0.04922987972608972	0.3004247858861326	-0.4669050078673124	0.4611177102618883
6	0.28123738474865617	-0.17778862727904632	-0.09858956941834418	0.5326184076774327
7	0.0856698947417052	-0.258996039575343	0.3709080405495109	-0.49060039712139764
8	-0.19922574879117214	0.12417220687544057	-0.03354151280479589	0.2136999978775972
9	-0.06263632122818749	0.07775354904456444	0.155434334004562	-0.31130245558676417
10	0.0228925827208334	0.22075383600030954	-0.10919444262306957	-0.14731608288155557
11	0.2657218023211739	0.09641689273717806	-0.25269836147877656	0.2617794328817802
12	0.37178038433206984	-0.15590603427019528	-0.04236670803305209	0.10236215015679304
13	0.20028374663485501	-0.1815874249761432	0.045522556304756434	0.13497216903974413
14	0.0005375791610974789	-0.12153197567940771	0.1715497640710018	-0.2233673470640937
15	-0.13314759408625101	0.05582717122662571	-0.012325871879582312	0.034363667922510874
16	-0.07173770573696273	0.03819123913913484	0.017368842062719242	-0.07014933121338865
17	-0.0297273426839144	0.05157400849693852	-0.04402867182305863	0.004411591926836378
18	0.027004066662717978	0.004545253496070618	-0.044461106271211755	0.11364989027210139
19	0.032003845508395655	-0.03928382171390862	0.05337768434655831	-0.04087055696799345
20	-0.011208358376903836	0.015762066156392567	0.021931951510020045	0.015463840621417799
21	0.0061299143951279896	0.03486657506905817	0.03804260322029807	-0.17243093615694735
22	0.044483146971091986	0.069244699983005	-0.11334097899892473	0.03215854955560994
23	0.12065231695239749	-0.04567528555983009	-0.09573238229876826	0.5586639581082311
24	0.0704095028365844	-0.13764015976875923	0.3974919417687629	-0.6941207178580675
25	-0.08099467290905077	0.2606824080670221	-0.1874675101266215	0.17984673427502249
26	0.20575597596467354	0.05472156529727925	-0.0443522002917634	-0.21808473892355695
27	0.2659496977916807	0.009295665879611666	-0.24506368535214101	0.3397103252708585
28	0.27617493025925355	-0.22784150504559206	0.03616923885641754	0.30232651120127046
